name,prefix,seed,dim,n_clusters,linkage,ari,nmi,sum
AgglomerativeClustering,high_data,0,2,10,ward,0.43348775117043103,0.5944108650784022,1.0278986162488333
AgglomerativeClustering,high_data,0,2,10,complete,0.30721436761356674,0.4777451002131505,0.7849594678267172
AgglomerativeClustering,high_data,0,2,10,average,0.08829735915028261,0.2939173406419353,0.3822146997922179
AgglomerativeClustering,high_data,0,2,10,single,0.0006767663036568854,0.00963883759404355,0.010315603897700434
AgglomerativeClustering,high_data,0,5,10,ward,0.35194003799470297,0.5744658345103595,0.9264058725050625
AgglomerativeClustering,high_data,0,5,10,complete,0.11687427066788614,0.3824581700603611,0.49933244072824723
AgglomerativeClustering,high_data,0,5,10,average,0.009024486875964422,0.07868186352076362,0.08770635039672804
AgglomerativeClustering,high_data,0,5,10,single,0.00033995146415864426,0.005045793500125625,0.005385744964284269
AgglomerativeClustering,high_data,0,10,10,ward,0.6118660008083597,0.7451028340147836,1.3569688348231432
AgglomerativeClustering,high_data,0,10,10,complete,0.11214726919436488,0.32686574627254683,0.43901301546691174
AgglomerativeClustering,high_data,0,10,10,average,0.0029681421487642873,0.03443113091049115,0.03739927305925544
AgglomerativeClustering,high_data,0,10,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,high_data,0,50,10,ward,0.6636260262720451,0.7950012100588866,1.4586272363309316
AgglomerativeClustering,high_data,0,50,10,complete,0.03292880717281852,0.1903684541297166,0.2232972613025351
AgglomerativeClustering,high_data,0,50,10,average,0.00028085170947156395,0.004207188422938368,0.004488040132409932
AgglomerativeClustering,high_data,0,50,10,single,0.00028085170947156395,0.004207188422938368,0.004488040132409932
AgglomerativeClustering,high_data,0,100,10,ward,0.721800069226777,0.8469638116762465,1.5687638809030235
AgglomerativeClustering,high_data,0,100,10,complete,0.026835180245316316,0.16349278574319173,0.19032796598850804
AgglomerativeClustering,high_data,0,100,10,average,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,high_data,0,100,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
