name,prefix,seed,dim,cluster_all,bandwidth,ari,nmi,sum
MeanShift,new_data_scaled,9,2,True,0.01,0.10037626659383377,0.5580528945958141,0.6584291611896479
MeanShift,new_data_scaled,9,2,True,0.02,0.33738882548074045,0.6659560344464215,1.003344859927162
MeanShift,new_data_scaled,9,2,True,0.03,0.45466307500969655,0.7047702520530669,1.1594333270627635
MeanShift,new_data_scaled,9,2,True,0.04,0.6334647829218808,0.7432293816372872,1.3766941645591682
MeanShift,new_data_scaled,9,2,True,0.05,0.6569563033183607,0.7626529381354143,1.419609241453775
MeanShift,new_data_scaled,9,2,True,0.06,0.62719261817733,0.7498206326301045,1.3770132508074344
MeanShift,new_data_scaled,9,2,True,0.07,0.5546092891127469,0.7071575761719034,1.2617668652846503
MeanShift,new_data_scaled,9,2,True,0.08,0.5588685510762279,0.7097749843970211,1.268643535473249
MeanShift,new_data_scaled,9,2,True,0.09,0.6127055480932556,0.6975833929032108,1.3102889409964664
MeanShift,new_data_scaled,9,2,True,0.1,0.6307636080563395,0.706336640214777,1.3371002482711165
MeanShift,new_data_scaled,9,2,True,0.11,0.4860555661232957,0.6455934400111755,1.131649006134471
MeanShift,new_data_scaled,9,2,True,0.12,0.42628378749090295,0.610607155352133,1.036890942843036
MeanShift,new_data_scaled,9,2,True,0.13,0.4281770393191189,0.6075882065961092,1.0357652459152282
MeanShift,new_data_scaled,9,2,True,0.14,0.3197472579361938,0.5028480506220172,0.822595308558211
MeanShift,new_data_scaled,9,2,True,0.15,0.2338784026494714,0.42785131347763417,0.6617297161271056
MeanShift,new_data_scaled,9,2,True,0.16,0.23991522528176168,0.4409137728064446,0.6808289980882063
MeanShift,new_data_scaled,9,2,True,0.17,0.23938739361222663,0.43820153735514616,0.6775889309673728
MeanShift,new_data_scaled,9,2,True,0.18,0.2516498502803988,0.4366083599956997,0.6882582102760986
MeanShift,new_data_scaled,9,2,True,0.19,0.04492236252373592,0.2156030253648479,0.2605253878885838
MeanShift,new_data_scaled,9,2,True,0.2,0.010881863637612071,0.07772662399002303,0.0886084876276351
MeanShift,new_data_scaled,9,2,True,0.21,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.22,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.23,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.24,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.25,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.3,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.4,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,True,0.5,0.0,0.0,0.0
MeanShift,new_data_scaled,9,2,False,0.01,0.07591804952683825,0.5098215072164618,0.5857395567433
MeanShift,new_data_scaled,9,2,False,0.02,0.13963622153207703,0.5459264618577563,0.6855626833898333
MeanShift,new_data_scaled,9,2,False,0.03,0.24470729818208756,0.599968991341839,0.8446762895239266
MeanShift,new_data_scaled,9,2,False,0.04,0.3444469477298782,0.6456258874641186,0.9900728351939969
MeanShift,new_data_scaled,9,2,False,0.05,0.5069631119804935,0.7057802033932602,1.2127433153737537
MeanShift,new_data_scaled,9,2,False,0.06,0.45839384302531416,0.6469284062463188,1.1053222492716328
MeanShift,new_data_scaled,9,2,False,0.07,0.5217786483670871,0.673807883440198,1.1955865318072851
MeanShift,new_data_scaled,9,2,False,0.08,0.5627813013369775,0.6949168432296168,1.2576981445665942
MeanShift,new_data_scaled,9,2,False,0.09,0.5572604578119387,0.6568927527200193,1.2141532105319581
MeanShift,new_data_scaled,9,2,False,0.1,0.5872524473137665,0.6780979803275871,1.2653504276413536
MeanShift,new_data_scaled,9,2,False,0.11,0.552388223144655,0.685661934225415,1.23805015737007
MeanShift,new_data_scaled,9,2,False,0.12,0.49319246169590664,0.6475155378285021,1.1407079995244087
MeanShift,new_data_scaled,9,2,False,0.13,0.5180753283251603,0.6667326352681961,1.1848079635933564
MeanShift,new_data_scaled,9,2,False,0.14,0.3098191957274286,0.5162298223207678,0.8260490180481963
MeanShift,new_data_scaled,9,2,False,0.15,0.37869507608117203,0.5211345029517037,0.8998295790328757
MeanShift,new_data_scaled,9,2,False,0.16,0.36068643828156566,0.5244554609251049,0.8851418992066705
MeanShift,new_data_scaled,9,2,False,0.17,0.35141660805388175,0.5265567879579468,0.8779733960118286
MeanShift,new_data_scaled,9,2,False,0.18,0.3487054896314103,0.5268545305073833,0.8755600201387936
MeanShift,new_data_scaled,9,2,False,0.19,0.20394133893868335,0.37020009249030955,0.5741414314289929
MeanShift,new_data_scaled,9,2,False,0.2,0.19494878306580593,0.35504798168227686,0.5499967647480828
MeanShift,new_data_scaled,9,2,False,0.21,0.18647464231874344,0.33842400655137744,0.5248986488701208
MeanShift,new_data_scaled,9,2,False,0.22,0.17824467931354346,0.328416493628398,0.5066611729419415
MeanShift,new_data_scaled,9,2,False,0.23,0.1413415513052842,0.28958332356883193,0.4309248748741161
MeanShift,new_data_scaled,9,2,False,0.24,0.11331967758442661,0.2595372336548806,0.3728569112393072
MeanShift,new_data_scaled,9,2,False,0.25,0.10101359108203967,0.2441566654863568,0.3451702565683965
MeanShift,new_data_scaled,9,2,False,0.3,0.05789836897888305,0.18728092696469986,0.2451792959435829
MeanShift,new_data_scaled,9,2,False,0.4,0.02387668962623619,0.12305203515210113,0.14692872477833732
MeanShift,new_data_scaled,9,2,False,0.5,0.008394424655461183,0.06540971030569973,0.07380413496116091
